objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
435638,32.100.102,Jean Bellegambe,The Cellier Altarpiece,1511–12,Oil on wood,Shaped top: central panel 40 x 24 in. (101.6 x 61 cm); left wing 37 3/4 x 10 in. (95.9 x 25.4 cm); right wing 37 1/2 x 9 1/2 in. (95.3 x 24.1 cm),101.6,61.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT11782.jpg
435640,30.95.256,Giovanni Bellini,Madonna Adoring the Sleeping Child,early 1460s,Tempera on wood,28 1/2 x 18 1/4 in. (72.4 x 46.4 cm),72.4,46.4,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT7219.jpg
435641,08.183.1,Giovanni Bellini,Madonna and Child,late 1480s,Oil on wood,35 x 28 in. (88.9 x 71.1 cm),88.9,71.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT375.jpg
435642,49.7.1,Giovanni Bellini,Madonna and Child with Saints,ca. 1505–10,Tempera and oil on wood,38 1/4 x 60 1/2 in. (97.2 x 153.7 cm),97.2,153.7,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP104372.jpg
435644,49.7.2,Giovanni Bellini,Madonna and Child,ca. 1510,Oil on wood,Overall 13 1/2 x 10 7/8 in. (34.3 x 27.6 cm); painted surface 12 3/4 x 10 1/8 in. (32.4 x 25.7 cm),34.3,27.6,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT301874.jpg
435645,59.187,Jacopo Bellini,Madonna and Child,probably 1440s,"Tempera on wood, gold ground","Overall, with arched top, 34 1/2 x 25 in. (87.6 x 63.5 cm); painted surface 30 1/2 x 21 3/4 in. (77.5 x 55.2 cm)",87.6,63.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP255395.jpg
435649,59.185,Benjamin-Constant (Jean-Joseph-Benjamin Constant),Judith,possibly ca. 1886,Oil on canvas,47 1/2 x 31 1/2 in. (120.7 x 80 cm),120.7,80.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT2818.jpg
435650,53.61.4,Marie Guillemine Benoist,"Madame Philippe Panon Desbassayns de Richemont (Jeanne Eglé Mourgue, 1778–1855) and Her Son, Eugène (1800–1859)",1802,Oil on canvas,46 x 35 1/4 in. (116.8 x 89.5 cm),116.8,89.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-13442-001.jpg
435651,1982.60.23,Ambrosius Benson,The Lamentation,ca. 1520–25,"Oil on canvas, transferred from wood","Shaped top, 36 x 22 1/8 in. (91.4 x 56.2 cm)",91.4,56.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/LC-1982_60_23.jpg
435656,27.39.1,Bergognone (Ambrogio di Stefano da Fossano),The Assumption of the Virgin,ca. 1510,Oil and gold on wood,95 3/8 x 42 1/2 in. (242.3 x 108 cm),242.3,108.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT11757.jpg
435658,60.173,Berlinghiero,Madonna and Child,possibly 1230s,"Tempera on wood, gold ground",Overall 31 5/8 x 21 1/8 in. (80.3 x 53.7 cm); painted surface 30 x 19 1/2 in. (76.2 x 49.5 cm),80.3,53.7,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-26882-001.jpg
435659,41.100.13,Bernardino da Genoa,Madonna and Child with Angels,1515,Oil on wood,29 3/8 x 22 5/8 in. (74.6 x 57.5 cm),74.6,57.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-25352-001.jpg
435661,42.150.15,Vincent Bertrand,Portrait of a Woman,ca. 1810,Ivory,"Oval, 2 5/8 x 2 in. (58 x 48 mm)",6.7,5.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-43805-001.jpg
435662,45.110.1,Vincent Bertrand,Portrait of a Woman,ca. 1810,Ivory,4 1/4 x 4 in. (110 x 100 mm),10.8,10.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/ep45.110.1.R.jpg
435664,32.100.68,Biagio d'Antonio,Portrait of a Young Man,probably ca. 1470,Tempera on wood,Overall 21 3/8 x 15 1/2 in. (54.3 x 39.4 cm); painted surface 20 1/4 x 14 1/4 in. (51.4 x 36.2 cm),54.29261,39.37008,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP161258.jpg
435666,32.100.69,Biagio d'Antonio,The Story of Joseph,,Tempera on wood,27 x 59 in. (68.6 x 149.9 cm),68.6,149.9,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT292812.jpg
435669,16.121,Bicci di Lorenzo,Saint Nicholas Resuscitating Three Youths,1433–35,Tempera and gold on wood,12 x 22 1/4 in. (30.5 x 56.5 cm),30.5,56.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT273089.jpg
435670,1982.60.33,Cornelis Bisschop,A Young Woman and a Cavalier,early 1660s,Oil on canvas,38 1/2 x 34 3/4 in. (97.8 x 88.3 cm),97.8,88.3,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP146467.jpg
435671,51.30.1,William Blake,The Angel Appearing to Zacharias,1799–1800,"Pen and black ink, tempera, and glue size on canvas",10 1/2 x 15 in. (26.7 x 38.1 cm),26.7,38.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP164838.jpg
435680,1972.171,Abraham Bloemaert,Moses Striking the Rock,1596,Oil on canvas,31 3/8 x 42 1/2 in. (79.7 x 108 cm),79.7,108.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP145411.jpg
435682,30.95.289,Boccaccio Boccaccino,Madonna and Child,1506–1518,Oil on wood,Overall 20 3/8 x 14 5/8 in. (51.8 x 37.1 cm); painted surface 20 x 14 in. (50.8 x 35.6 cm),51.8,37.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/EP258.jpg
435687,1976.100.3,Louis Léopold Boilly,Portrait of a Man,,Oil on canvas,8 3/4 x 6 7/8 in. (22.2 x 17.5 cm),22.2,17.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-1420-01.jpg
435688,1976.100.2,Louis Léopold Boilly,Portrait of a Woman,,Oil on canvas,8 3/4 x 6 7/8 in. (22.2 x 17.5 cm),22.2,17.5,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-1419-01.jpg
435689,30.95.269,Ferdinand Bol,Portrait of a Woman,1642,Oil on canvas,34 3/8 x 28 in. (87.3 x 71.1 cm),87.3,71.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP145922.jpg
435690,57.68,Ferdinand Bol,Petronella Elias (1648–1667) with a Basket of Fruit,1657,Oil on canvas,31 5/8 x 26 in. (80.3 x 66 cm),80.3,66.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP143180.jpg
435691,87.15.81,Giovanni Boldini,Gossip,1873,Oil on wood,7 x 9 1/2 in. (17.8 x 24.1 cm),17.8,24.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT219388.jpg
435694,08.136.12,Giovanni Boldini,The Dispatch-Bearer,?1879,Oil on wood,16 3/4 x 13 1/2 in. (42.5 x 34.3 cm),42.5,34.3,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP223662.jpg
435697,26.168.61,Henry Bone,"George IV (1762–1830) as Prince Regent, after Lawrence",1816,Enamel,"Oval, 2 1/2 x 2 in. (64 x 49 mm)",6.3,5.1,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT200600.jpg
435698,24.80.503,Henry Bone,"Matthew Baillie (1761–1823), F.R.S., after Hoppner",1817,Enamel,5 1/8 x 4 in. (130 x 103 mm),13.0,10.2,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/EP758.jpg
435699,24.80.523,Henry Bone,"Charles X (1757–1836), King of France, after Gérard",1829,Enamel,14 1/4 x 10 1/4 in. (364 x 260 mm),36.2,26.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/ep24.80.523.R.jpg
435700,95.14.47,Henry Bone,"Algernon Percy (1602–1668), Tenth Earl of Northumberland, after Van Dyck",1827,Enamel,7 x 5 3/8 in. (178 x 136 mm),17.8,13.7,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-31457-001.jpg
435702,87.25,Rosa Bonheur,The Horse Fair,1852–55,Oil on canvas,96 1/4 x 199 1/2 in. (244.5 x 506.7 cm),244.5,506.7,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-23550-001.jpg
435706,1995.536,Bonifacio de' Pitati (Bonifacio Veronese),Madonna and Child with Saints,,Oil on wood,32 1/2 x 50 in. (82.6 x 127 cm),82.6,127.0,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DT11627.jpg
435709,80.8,Léon Bonnat,John Taylor Johnston (1820–1893),1880,Oil on canvas,52 1/2 x 44 in. (133.4 x 111.8 cm),133.4,111.8,European Paintings,https://images.metmuseum.org/CRDImages/ep/original/DP-17011-001.jpg
