objectID,accessionNumber,artistDisplayName,title,objectDate,medium,dimensions,measurements.Height,measurements.Width,department,primaryImage
57182,36.100.81,Kano Tan'yū,Hotei,probably 17th or 18th century,Hanging scroll; ink on paper,"Image: 41 5/8 × 18 1/2 in. (105.7 × 47 cm)
Overall with mounting: 81 × 23 7/16 in. (205.7 × 59.5 cm)
Overall with knobs: 81 × 25 3/8 in. (205.7 × 64.5 cm)",105.7,47.0,Asian Art,https://images.metmuseum.org/CRDImages/as/original/LC-36_100_81_jps-006.jpg
57209,36.100.124,Shibata Zeshin,Sun and Plum Branches,,Album leaf; lacquer on paper,4 1/2 x 3 1/2 in. (11.4 x 8.9 cm),11.4,8.9,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP205546.jpg
57233,37.119.6,Kawanabe Kyōsai 河鍋暁斎,Three Kyōgen Dancers,late 19th century,Wash drawing; Ink on paper,6 x 10 1/4 in. (15.2 x 26 cm),15.2,26.0,Asian Art,https://images.metmuseum.org/CRDImages/as/original/LC-37_119_6-001.jpg
57236,38.106.6,Hokusai School,Woman with Baby on Her Back,19th century,Unmounted painting; ink on paper,9 7/8 x 13 in. (25.1 x 33 cm),25.1,33.0,Asian Art,https://images.metmuseum.org/CRDImages/as/original/38_106_6_115890.jpg
57237,38.106.7,Hokusai School,Studies of Figures,19th century,Unmounted painting; ink on paper,11 x 15 in. (27.9 x 38.1 cm),27.9,38.1,Asian Art,https://images.metmuseum.org/CRDImages/as/original/38_106_7_115891.jpg
57238,37.138,Kawanabe Kyōsai 河鍋暁斎,Sketches of East Asian Legendary Figures,late 19th century,Ink on paper,8 x 5 in. (20.3 x 12.7 cm),20.3,12.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/LC-37_138-001.jpg
57241,38.106.2,Hokusai School,Rats and a Kabuki Actor in the Role of Nikki Danjō,19th century,Unmounted drawing; ink on paper,10 1/2 x 14 1/2 in. (26.7 x 36.8 cm),26.7,36.8,Asian Art,https://images.metmuseum.org/CRDImages/as/original/38_106_2_115886.jpg
57247,57.70.2,Chōbunsai Eishi,Courtesan and Attendant,18th–19th century,Hanging scroll; ink and color on paper,36 1/2 x 15 3/4 in. (92.7 x 40 cm),92.7,40.0,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-37663-002.jpg
57248,57.70.3,Shibata Zeshin,Boy on Ox,19th century,Hanging scroll; ink on silk,5 1/16 x 4 3/4 in. (12.9 x 12.1 cm),12.9,12.1,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-37454-002.jpg
57249,57.84,Kenkō Shōkei 賢江祥啓,Hanshan and Shide,mid- to late 16th century,Hanging scroll; ink on paper,"Image: 36 1/4 × 14 1/2 in. (92.1 × 36.8 cm)
Overall with mounting: 72 1/2 × 19 3/4 in. (184.2 × 50.2 cm)
Overall with knobs: 72 1/2 × 21 3/4 in. (184.2 × 55.2 cm)",92.07519,36.830074,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-37456-002.jpg
57255,56.121.5,Katsushika Hokusai,Sakata Kintoki Drinking Sake Wine,18th–19th century,Ink and color on paper,9 3/8 x 13 15/16 in. (23.8 x 35.4 cm),23.8,35.4,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24894-001.jpg
57256,56.121.6,Katsushika Hokusai,Guan Yu Seated (Chinese God of War),18th–19th century,Ink on paper,10 7/8 x 7 9/16 in. (27.6 x 19.2 cm),27.6,19.2,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24895-001.jpg
57259,56.121.9,Katsushika Hokusai,Hermit with a Staff,18th–19th century,Ink and color on paper,13 x 9 1/4 in. (33 x 23.5 cm),33.0,23.5,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24901-001.jpg
57260,56.121.10,Katsushika Hokusai,Ebisu and Daikoku Celebrating the New Year Festival,18th–19th century,Ink on paper,18 1/2 x 12 3/16 in. (47 x 31 cm),47.0,31.0,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24902-001.jpg
57261,56.121.11,Katsushika Hokusai,Portrait of the Poet Matsuo Bashō (?),18th–19th century,Ink on paper,9 7/8 x 7 7/16 in. (25.1 x 18.9 cm),25.1,18.9,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24903-001.jpg
57266,56.121.16,Katsushika Hokusai,Sakata Kintoki Riding on Bear's Back,18th–19th century,Ink and red color on paper,16 13/16 x 10 1/2 in. (42.7 x 26.7 cm),42.7,26.7,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24908-001.jpg
57269,56.121.19,Katsushika Hokusai,Juro (God of Luck),18th–19th century,Ink on paper,10 11/16 x 7 1/8 in. (27.1 x 18.1 cm),27.1,18.1,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24986-001.jpg
57271,56.121.21,Katsushika Hokusai,Yamato Takeru no Mikoto,18th–19th century,Ink on paper,12 7/8 x 9 1/2 in. (32.7 x 24.1 cm),32.7,24.1,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24988-001.jpg
57272,56.121.22,Katsushika Hokusai,The Actor Danjuro as Shibaraku,18th–19th century,Ink on paper,9 3/4 x 13 5/8 in. (24.8 x 34.6 cm),24.8,34.6,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24989-001.jpg
57275,56.121.25,Katsushika Hokusai,Okijiro Hironari,18th–19th century,Ink and color on paper,9 7/16 x 13 1/2 in. (24 x 34.3 cm),24.0,34.3,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-24992-001.jpg
