objectID,accessionNumber,objectName,title,department,primaryImage,artistDisplayName,objectDate,medium,dimensions,measurements.Height,measurements.Width
39665,"55.94.1, .2",Screens,"“An Imperial Excursion” (Miyuki), “A Boat Cast Adrift” (Ukifune), and “The Barrier Gate” (Sekiya)",Asian Art,https://images.metmuseum.org/CRDImages/as/original/LC-55_94_1_2_001.jpg,Tosa Mitsuyoshi,mid-16th–early 17th century,"Painted sliding doors (fusuma-e) remounted as a pair of four-panel folding screens; ink, color, and gold leaf on paper",Image (each screen): 65 1/2 in. × 11 ft. 8 in. (166.4 × 355.6 cm),166.37033,355.6007
39667,1991.117.2,Hanging scroll,The Scholar Fu Sheng Transmitting the Book of Documents,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP274148.jpg,Du Jin,15th–mid-16th century,Hanging scroll; ink and color on silk,"Image: 57 7/8 × 41 1/8 in. (147 × 104.5 cm)
Overall with mounting: 9 ft. 10 3/4 in. × 50 1/4 in. (301.6 × 127.6 cm)
Overall with knobs: 9 ft. 10 3/4 in. × 53 in. (301.6 × 134.6 cm)",147.0028,104.4577
39668,1981.276,Handscroll,"Old Trees, Level Distance",Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP167812_CRD.jpg,Guo Xi,ca. 1080,Handscroll; ink and color on silk,"Image: 14 × 41 1/8 in. (35.6 × 104.4 cm)
Overall with mounting: 14 3/4 in. × 28 ft. 1/8 in. (37.5 × 853.8 cm)",35.6,104.4224
39669,57.156.6,Hanging scroll,Taima Mandala,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-15580-009.jpg,,14th century,"Hanging scroll; ink, color, and gold on silk","Image: 36 1/8 x 28 5/8 in. (91.8 x 72.7 cm)
Overall with mounting: 74 1/2 x 36 3/4 in. (189.2 x 93.3 cm)
Overall with knobs: 74 1/2 x 38 3/8 in. (189.2 x 97.5 cm)",91.7577,72.7076
39670,2019.193.78,Hanging scroll,A Carp Ascending a Waterfall,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-27348-002.jpg,Shibata Zeshin,19th century,Hanging scroll; ink and color on silk,"Image: 59 1/8 × 13 7/8 in. (150.2 × 35.2 cm)
Overall with mounting: 59 1/8 × 13 7/8 in. (150.2 × 35.2 cm)
Overall with knobs: 60 × 15 7/8 in. (152.4 × 40.3 cm)",150.1778,35.24257
3970,83.2.107,Painting,Plaque of George Washington,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/25534.jpg,Gilbert Stuart,1776–1830,Painted glass,8 x 5 3/8 in. (20.3 x 13.7 cm),20.3,13.6525
3971,83.2.102,Painting,Portrait of George Washington,The American Wing,https://images.metmuseum.org/CRDImages/ad/original/25568.jpg,,1800–30,Oil on wood,Diam. 3 3/4 in. (9.5 cm),,
39713,1979.26,Hanging scroll,Red Friend,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP350741.jpg,Lan Ying,17th century,Hanging scroll; ink and color on paper,"Image: 58 5/8 × 18 5/8 in. (148.9 × 47.3 cm)
Overall with mounting: 85 3/4 × 25 5/8 in. (217.8 × 65.1 cm)
Overall with knobs: 85 3/4 × 29 in. (217.8 × 73.7 cm)",148.9078,47.3076
39715,1986.267.49,Folding fan mounted as an album leaf,Scholar on a rock,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP161427.jpg,Ren Yi (Ren Bonian),ca. 1880,Folding fan mounted as an album leaf; ink and color on paper,Image: 7 1/2 x 21 3/16 in. (19.1 x 53.8 cm),19.050037,53.816357
39717,1989.363.120,Hanging scroll,Cloud Rock,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP350722.jpg,Ni Yuanlu,16th–mid-17th century,Hanging scroll; ink on silk,"Image: 51 1/2 x 17 7/8 in. (130.8 x 45.4 cm)
Overall with mounting: 86 3/4 x 25 3/8 in. (220.3 x 64.5 cm)
Overall with knobs: 86 3/4 x 28 3/8 in. (220.3 x 72.1 cm)",130.8103,45.4026
39718,1997.390,Folio,Durga and Kali Approach the Gathered Armies of Chanda and Munda: Scene from the Devi Mahatmya,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT4223.jpg,,ca. 1780,Ink and opaque watercolor on paper,7 3/4 x 11 5/8 in. (19.7 x 29.5 cm),19.685,29.5276
39725,36.100.46,Hanging scroll,Three Women on a Riverbank,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP142183.jpg,Torii Kiyonaga,early 19th century,Hanging scroll; ink and color on silk,"Image: 15 3/4 × 23 1/4 in. (40 × 59.1 cm)
Overall with mounting: 51 1/8 × 28 1/4 in. (129.9 × 71.8 cm)
Overall with knobs: 51 1/8 × 30 3/8 in. (129.9 × 77.2 cm)",40.00508,59.05512
39764,1997.439a–m,Album,Ink Play,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT4237.jpg,Jin Nong,dated 1754,Album of twelve paintings; ink and color on paper,Each 11 1/4 x 9 3/8 in. (28.6 x 23.8 cm),28.6,23.8
39765,1997.438.3,Hanging scroll,Two Horses,Asian Art,https://images.metmuseum.org/CRDImages/as/original/ASA97.jpg,Unidentified,dated 1793,Hanging scroll; ink and color on paper,"Image: 48 5/8 x 20 1/4 in. (123.5 x 51.4 cm)
Overall with mounting: 87 1/2 x 25 3/4 in. (222.3 x 65.4 cm)
Overall with knobs: 87 1/2 x 29 15/16 in. (222.3 x 76 cm)",123.5077,51.4351
39766,1997.438.2,Hanging scroll,Farewell Poem,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP-35726-002.jpg,Wang Ao,dated 1498,Hanging scroll; ink on paper,"Image: 81 1/2 x 25 in. (207 x 63.5 cm)
Overall: 130 x 34 1/2 in. (330.2 x 87.6 cm)
Overall with rollers: 130 x 36 1/2 in. (330.2 x 92.7 cm)",207.0104,63.5001
39767,1997.438.1,Hanging scroll,Grooms and Foreign Horses,Asian Art,https://images.metmuseum.org/CRDImages/as/original/ASA96.jpg,Jin Nong,17th–18th century,Hanging scroll; ink and color on silk,"Image: 27 1/2 x 21 3/4 in. (69.9 x 55.2 cm)
Overall with mounting: 92 1/2 x 22 7/8 in. (235 x 58.1 cm)
Overall with knobs: 92 1/2 x 26 1/4 in. (235 x 66.7 cm)",69.8501,55.2451
39806,1998.75,Book cover,"Interior of a Manuscript Cover: Manjuvajra Embracing His Consort, with Attendant Lamas",Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP335604.jpg,,late 13th century,Distemper on wood,16 3/4 x 5 5/8 in. (42.5 x 14.3 cm),42.5,14.3
