objectID,artistDisplayName,title,objectDate,medium,dimensions,department,img_id,img_url,img_area,eye_count
925118,Johann Georg Platzer,Amusement at the Court,ca. 1738,Oil on copper,22 7/16 × 31 1/2 in. (57 × 80 cm),European Paintings,925118_004,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/925118_004.avif,4081,2
925118,Johann Georg Platzer,Amusement at the Court,ca. 1738,Oil on copper,22 7/16 × 31 1/2 in. (57 × 80 cm),European Paintings,925118_005,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/925118_005.avif,4080,3
925118,Johann Georg Platzer,Amusement at the Court,ca. 1738,Oil on copper,22 7/16 × 31 1/2 in. (57 × 80 cm),European Paintings,925118_006,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/925118_006.avif,3136,2
925118,Johann Georg Platzer,Amusement at the Court,ca. 1738,Oil on copper,22 7/16 × 31 1/2 in. (57 × 80 cm),European Paintings,925118_007,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/925118_007.avif,2982,2
925118,Johann Georg Platzer,Amusement at the Court,ca. 1738,Oil on copper,22 7/16 × 31 1/2 in. (57 × 80 cm),European Paintings,925118_008,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/925118_008.avif,3105,2
925118,Johann Georg Platzer,Amusement at the Court,ca. 1738,Oil on copper,22 7/16 × 31 1/2 in. (57 × 80 cm),European Paintings,925118_010,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/925118_010.avif,663,2
925118,Johann Georg Platzer,Amusement at the Court,ca. 1738,Oil on copper,22 7/16 × 31 1/2 in. (57 × 80 cm),European Paintings,925118_011,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/925118_011.avif,1521,1
927417,Erzsébet Korb,Untitled (Portrait of a Young Blonde Woman),ca. 1921,Oil on paperboard,16 1/8 × 12 5/8 in. (41 × 32.1 cm),Modern and Contemporary Art,927417_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/927417_000.avif,148697,2
929154,,Portrait of En no Gyōja,15th century,Hanging scroll; ink and color on silk,"Image: 38 11/16 × 21 5/16 in. (98.2 × 54.2 cm)
Overall with mounting: 74 3/16 × 29 3/16 in. (188.5 × 74.1 cm)
Overall with knobs: 74 3/16 × 31 1/4 in. (188.4 × 79.4 cm)",Asian Art,929154_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/929154_000.avif,6468,2
929154,,Portrait of En no Gyōja,15th century,Hanging scroll; ink and color on silk,"Image: 38 11/16 × 21 5/16 in. (98.2 × 54.2 cm)
Overall with mounting: 74 3/16 × 29 3/16 in. (188.5 × 74.1 cm)
Overall with knobs: 74 3/16 × 31 1/4 in. (188.4 × 79.4 cm)",Asian Art,929154_002,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/929154_002.avif,696,1
929155,Kano Takanobu,Bodhidharma,ca. 1610–1618,Hanging scroll; ink on paper,"Image: 44 7/8 × 17 15/16 in. (114 × 45.5 cm)
Overall with mounting: 85 13/16 × 23 7/16 in. (218 × 59.5 cm)
Overall with knobs: 85 3/16 × 25 5/16 in. (216.4 × 64.3 cm)",Asian Art,929155_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/929155_000.avif,32724,2
