objectID,artistDisplayName,title,objectDate,medium,dimensions,department,img_id,img_url,img_area,eye_count
897141,Kawanabe Kyōsai,Painting and Calligraphy Gathering at the Nakamurarō in Ryōgoku,ca. 1876,Hanging scroll; ink and color on paper,"Image: 54 1/2 × 25 3/8 in. (138.5 × 64.5 cm)
Overall with mounting: 83 1/2 × 31 13/16 in. (212.1 × 80.8 cm)
Overall with knobs: 83 1/2 × 36 5/8 in. (212.1 × 93 cm)",Asian Art,897141_004,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897141_004.avif,1122,1
897141,Kawanabe Kyōsai,Painting and Calligraphy Gathering at the Nakamurarō in Ryōgoku,ca. 1876,Hanging scroll; ink and color on paper,"Image: 54 1/2 × 25 3/8 in. (138.5 × 64.5 cm)
Overall with mounting: 83 1/2 × 31 13/16 in. (212.1 × 80.8 cm)
Overall with knobs: 83 1/2 × 36 5/8 in. (212.1 × 93 cm)",Asian Art,897141_005,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897141_005.avif,930,1
897141,Kawanabe Kyōsai,Painting and Calligraphy Gathering at the Nakamurarō in Ryōgoku,ca. 1876,Hanging scroll; ink and color on paper,"Image: 54 1/2 × 25 3/8 in. (138.5 × 64.5 cm)
Overall with mounting: 83 1/2 × 31 13/16 in. (212.1 × 80.8 cm)
Overall with knobs: 83 1/2 × 36 5/8 in. (212.1 × 93 cm)",Asian Art,897141_007,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897141_007.avif,1260,2
897141,Kawanabe Kyōsai,Painting and Calligraphy Gathering at the Nakamurarō in Ryōgoku,ca. 1876,Hanging scroll; ink and color on paper,"Image: 54 1/2 × 25 3/8 in. (138.5 × 64.5 cm)
Overall with mounting: 83 1/2 × 31 13/16 in. (212.1 × 80.8 cm)
Overall with knobs: 83 1/2 × 36 5/8 in. (212.1 × 93 cm)",Asian Art,897141_008,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897141_008.avif,2706,1
897141,Kawanabe Kyōsai,Painting and Calligraphy Gathering at the Nakamurarō in Ryōgoku,ca. 1876,Hanging scroll; ink and color on paper,"Image: 54 1/2 × 25 3/8 in. (138.5 × 64.5 cm)
Overall with mounting: 83 1/2 × 31 13/16 in. (212.1 × 80.8 cm)
Overall with knobs: 83 1/2 × 36 5/8 in. (212.1 × 93 cm)",Asian Art,897141_009,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897141_009.avif,588,2
897141,Kawanabe Kyōsai,Painting and Calligraphy Gathering at the Nakamurarō in Ryōgoku,ca. 1876,Hanging scroll; ink and color on paper,"Image: 54 1/2 × 25 3/8 in. (138.5 × 64.5 cm)
Overall with mounting: 83 1/2 × 31 13/16 in. (212.1 × 80.8 cm)
Overall with knobs: 83 1/2 × 36 5/8 in. (212.1 × 93 cm)",Asian Art,897141_010,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897141_010.avif,1408,2
897321,Camille Pissarro,Seated Peasant Woman with Goats,1885,Gouache on wove paper,31 11/16 × 31 7/8 in. (80.5 × 81 cm),European Paintings,897321_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/897321_000.avif,10614,3
898963,,Shiva seated on the bull Nandin,late 19th century,Watercolor on paper,Image: 18 1/8 × 11 in. (46 × 27.9 cm),Asian Art,898963_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/898963_000.avif,33462,2
902222,Yiran Xingrong (Itsunen Shōyū),The Lay Buddhist Vimalakirti,1665,Hanging scroll; ink and color on silk,"Image: 13 7/8 × 21 5/8 in. (35.3 × 55 cm)
Overall with mounting: 49 3/16 × 27 11/16 in. (125 × 70.3 cm)",Asian Art,902222_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/902222_000.avif,22517,2
904717,Gu Jianlong,Two scenes from the Plum in the Golden Vase (Jinpingmei),late 17th–early 18th century,Two album leaves; ink and color on silk,"Image (a): 15 5/8 × 12 3/8 in. (39.7 × 31.4 cm)
Framed: 23 1/2 × 19 3/4 in. (59.7 × 50.2 cm)
Image (b): 15 11/16 × 12 7/16 in. (39.8 × 31.6 cm)
Framed: 23 1/2 × 19 3/4 in. (59.7 × 50.2 cm)",Asian Art,904717_000,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/904717_000.avif,2628,2
904717,Gu Jianlong,Two scenes from the Plum in the Golden Vase (Jinpingmei),late 17th–early 18th century,Two album leaves; ink and color on silk,"Image (a): 15 5/8 × 12 3/8 in. (39.7 × 31.4 cm)
Framed: 23 1/2 × 19 3/4 in. (59.7 × 50.2 cm)
Image (b): 15 11/16 × 12 7/16 in. (39.8 × 31.6 cm)
Framed: 23 1/2 × 19 3/4 in. (59.7 × 50.2 cm)",Asian Art,904717_001,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/904717_001.avif,4428,2
904717,Gu Jianlong,Two scenes from the Plum in the Golden Vase (Jinpingmei),late 17th–early 18th century,Two album leaves; ink and color on silk,"Image (a): 15 5/8 × 12 3/8 in. (39.7 × 31.4 cm)
Framed: 23 1/2 × 19 3/4 in. (59.7 × 50.2 cm)
Image (b): 15 11/16 × 12 7/16 in. (39.8 × 31.6 cm)
Framed: 23 1/2 × 19 3/4 in. (59.7 × 50.2 cm)",Asian Art,904717_002,https://raw.githubusercontent.com/acervos-digitais/met-faces-data/refs/heads/main/image/eyes-color-aligned-01/904717_002.avif,2210,2
